,YieldScopePriority_X,YieldScopePriority_Y,IsYieldForEnabled,IsYieldedEnabled,TokenAllocation,QuotaTokens,TotalWaitingTimeInMins,IsQuotaFullyLoad,isExceedSLA,Priority
40,,,1,1,234,2339,17683.96645,0,FALSE,46
103,,,1,1,350,2705,14819.80772,1,FALSE,56
274,,,1,1,234,2339,14119.90415,0,FALSE,47
27,,,1,1,234,2339,12335.72112,0,FALSE,48
152,,,1,1,234,2339,10351.84251,1,FALSE,58
183,,,1,1,234,2705,9131.515655,1,FALSE,59
92,,,1,1,234,2705,8093.172101,0,FALSE,52
221,,,1,1,500,0,7771.587651,1,FALSE,62
194,,,1,1,234,2339,7156.158708,0,FALSE,54
112,,,1,1,234,2339,4902.121405,0,FALSE,58
198,,,1,1,234,2339,4515.453216,1,FALSE,70
144,,,1,1,234,2339,4281.54477,1,FALSE,70
98,,,1,1,350,2339,4085.256395,1,FALSE,70
26,,,1,1,234,2339,4036.127973,1,FALSE,70
209,,,1,1,234,2339,3069.375729,1,FALSE,71
53,,,1,1,234,7635,2396.254627,0,FALSE,68
255,,,1,1,234,2339,2065.689816,1,FALSE,71
67,,,1,1,234,2705,1743.927685,0,FALSE,68
38,,,1,1,350,2339,1712.800709,1,FALSE,73
90,,,1,1,500,7635,1583.584256,1,FALSE,73
48,,,1,1,350,2705,1555.472962,0,FALSE,68
212,,,1,1,350,2705,1515.683233,1,FALSE,73
45,,,1,1,500,2339,1432.915046,0,FALSE,70
195,,,1,1,350,2339,1367.260004,0,FALSE,69
96,,,1,1,234,2705,1345.822662,1,FALSE,75
184,,,1,1,234,2339,1231.933923,1,FALSE,75
131,,,1,1,234,2705,1159.389186,1,FALSE,75
89,,,1,1,500,2339,1128.542836,0,FALSE,70
80,,,1,1,500,2339,1094.268399,0,FALSE,72
222,,,1,1,500,2339,1091.244387,1,FALSE,77
93,,,1,1,350,2705,1088.799987,1,FALSE,76
205,,,1,1,255,2705,1059.002403,1,FALSE,76
68,,,1,1,350,2705,1013.734137,1,FALSE,76
52,,,1,1,234,2339,994.3069784,0,FALSE,73
133,,,1,1,500,0,979.1098234,0,FALSE,79
132,,,1,1,349,2705,942.4014732,0,FALSE,75
191,,,1,1,500,2339,917.4281881,1,FALSE,79
29,,,1,1,234,2705,881.7328878,1,FALSE,78
126,,,1,1,234,2705,856.3617158,1,FALSE,78
189,,,1,1,233,2339,853.0530791,0,FALSE,73
214,,,1,1,350,2705,780.5838613,0,FALSE,74
168,,,1,1,234,7506,659.8125146,0,FALSE,73
263,,,1,1,500,2339,644.100573,1,FALSE,85
159,,,1,1,234,2705,612.7350945,1,FALSE,80
249,,,1,1,234,2339,530.2309528,1,FALSE,80
140,,,1,1,500,14572,480.8693591,0,TRUE,47
220,,,1,1,234,7506,470.2825092,0,FALSE,73
256,,,1,1,234,2705,410.5262854,0,FALSE,73
18,,,1,1,234,2705,379.1814091,0,FALSE,75
294,,,1,1,500,2339,374.4190189,0,FALSE,77
287,,,1,1,500,7635,361.233176,0,FALSE,75
171,,,1,1,500,2339,329.8583774,0,FALSE,78
91,,,1,1,500,2339,319.6842918,0,FALSE,78
180,,,1,1,500,0,293.2542637,0,FALSE,80
253,,,1,1,350,2339,278.785909,0,FALSE,84
201,,,1,1,500,7506,277.5087606,0,FALSE,80
110,,,1,1,234,2705,254.4250855,0,FALSE,83
233,,,1,1,234,2705,248.4563409,1,FALSE,114
223,,,1,1,350,2705,215.9592666,0,FALSE,87
7,,,1,1,234,2705,215.780196,1,FALSE,114
272,,,1,1,500,2339,193.2899786,0,FALSE,90
261,,,1,1,1500,13859,148.844147,0,TRUE,70
1,,,1,1,234,7506,139.5490563,0,FALSE,88
12,,,1,1,350,7635,138.3236206,0,FALSE,89
211,,,1,1,234,2339,138.1787299,1,FALSE,111
114,,,1,1,499,7506,137.5601746,0,FALSE,109
113,,,1,1,500,2705,132.3861075,1,FALSE,114
54,,,1,1,10,27700,128.3057844,1,FALSE,112
280,,,1,1,1500,27700,109.9372873,0,FALSE,90
14,,,1,1,500,7635,104.4684493,1,FALSE,110
213,,,1,1,700,7506,101.1936454,0,FALSE,94
176,2,0,1,1,1000,29125,96.22893524,1,TRUE,62
276,,,1,1,234,2339,94.53491299,1,FALSE,114
